TimeSeries ID,pod/network/received_bytes_count.k8s_pod.ALIGN_RATE.REDUCE_NONE.metric.type="kubernetes.io/pod/network/received_bytes_count" resource.type="k8s_pod" resource.labels.cluster_name="online-boutique" AND resource.labels.project_id="cnae-422614" AND resource.labels.location="us-central1" AND resource.labels.namespace_name="default" AND metadata.system_labels.service_name="frontend-external".cluster_name:online-boutique.location:us-central1.namespace_name:default.pod_name:frontend-6ccf88564c-svq69.project_id:cnae-422614
location,us-central1
pod_name,frontend-6ccf88564c-svq69
cluster_name,online-boutique
project_id,cnae-422614
namespace_name,default
Wed Jun 19 2024 01:35:00 GMT+0200 (Mitteleuropäische Sommerzeit),11673.034977267584
Wed Jun 19 2024 01:40:00 GMT+0200 (Mitteleuropäische Sommerzeit),11163.713125550748
Wed Jun 19 2024 01:45:00 GMT+0200 (Mitteleuropäische Sommerzeit),11379.635097339551
Wed Jun 19 2024 01:50:00 GMT+0200 (Mitteleuropäische Sommerzeit),12044.239363625846
Wed Jun 19 2024 01:55:00 GMT+0200 (Mitteleuropäische Sommerzeit),11868.76308351318
Wed Jun 19 2024 02:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),11316.660999472539
Wed Jun 19 2024 02:05:00 GMT+0200 (Mitteleuropäische Sommerzeit),28449.711915057105
Wed Jun 19 2024 02:10:00 GMT+0200 (Mitteleuropäische Sommerzeit),28871.841836295924
Wed Jun 19 2024 02:15:00 GMT+0200 (Mitteleuropäische Sommerzeit),30074.88335045775
Wed Jun 19 2024 02:20:00 GMT+0200 (Mitteleuropäische Sommerzeit),28939.67732292215
Wed Jun 19 2024 02:25:00 GMT+0200 (Mitteleuropäische Sommerzeit),29591.455229694846
Wed Jun 19 2024 02:30:00 GMT+0200 (Mitteleuropäische Sommerzeit),30279.70229853352
Wed Jun 19 2024 02:35:00 GMT+0200 (Mitteleuropäische Sommerzeit),29819.075123971703
Wed Jun 19 2024 02:40:00 GMT+0200 (Mitteleuropäische Sommerzeit),28863.51323760748
Wed Jun 19 2024 02:45:00 GMT+0200 (Mitteleuropäische Sommerzeit),29912.209849202238
Wed Jun 19 2024 02:50:00 GMT+0200 (Mitteleuropäische Sommerzeit),30400.520783662003
Wed Jun 19 2024 02:55:00 GMT+0200 (Mitteleuropäische Sommerzeit),28044.063324316343
Wed Jun 19 2024 03:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),28580.996612520616
Wed Jun 19 2024 03:05:00 GMT+0200 (Mitteleuropäische Sommerzeit),13443.568862822454
Wed Jun 19 2024 03:10:00 GMT+0200 (Mitteleuropäische Sommerzeit),11264.416592961948
Wed Jun 19 2024 03:15:00 GMT+0200 (Mitteleuropäische Sommerzeit),11966.946395310959
Wed Jun 19 2024 03:20:00 GMT+0200 (Mitteleuropäische Sommerzeit),11488.913306830327
Wed Jun 19 2024 03:25:00 GMT+0200 (Mitteleuropäische Sommerzeit),11196.329417736928
Wed Jun 19 2024 03:30:00 GMT+0200 (Mitteleuropäische Sommerzeit),12274.572726789316
Wed Jun 19 2024 03:35:00 GMT+0200 (Mitteleuropäische Sommerzeit),11258.674088490805
Wed Jun 19 2024 03:40:00 GMT+0200 (Mitteleuropäische Sommerzeit),11815.697772405545
Wed Jun 19 2024 03:45:00 GMT+0200 (Mitteleuropäische Sommerzeit),12013.631085739136
Wed Jun 19 2024 03:50:00 GMT+0200 (Mitteleuropäische Sommerzeit),11561.67785798351
Wed Jun 19 2024 03:55:00 GMT+0200 (Mitteleuropäische Sommerzeit),11629.094349292915
Wed Jun 19 2024 04:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),11885.665571093958
Wed Jun 19 2024 04:05:00 GMT+0200 (Mitteleuropäische Sommerzeit),18145.85253291289
Wed Jun 19 2024 04:10:00 GMT+0200 (Mitteleuropäische Sommerzeit),19870.465742905937
Wed Jun 19 2024 04:15:00 GMT+0200 (Mitteleuropäische Sommerzeit),19549.25275694132
Wed Jun 19 2024 04:20:00 GMT+0200 (Mitteleuropäische Sommerzeit),18821.573281962872
